compound,Gh,Hh,Cph,V,Hig,Sig,Cpig
"2,2'-Oxybispropane",1.1,,,,,,
"2,2'-Oxybispropane",1.18,,,,,,
"2,2'-Oxybispropane",1.74,,,,,,
"2,2'-Oxybispropane",1.55,,,,,,
"2,2'-Oxybispropane",1.62,,,,,,
"2,2'-Oxybispropane",2.43,,,,,,
"2,2'-Oxybispropane",1.5,,,,,,
"1,1'-Oxybispropane",2.99,,,,-293.01,,158.3
"1,1'-Oxybispropane",1.38,,,,,,
"1,1'-Oxybispropane",2.95,,,,,,
"1,1'-Oxybispropane",2.69,,,,,,
"1,1'-Oxybispropane",-1.03,,,,,,
"1,1'-Oxybispropane",2.9,,,,,,
"1,1'-Oxybispropane",3.98,,,,,,
"1,1'-Oxybispropane",1.4,,,,,,
"1,1'-Oxybispropane",3.02,,,,,,
1-Ethoxybutane,1.76,,,,,,
1-Ethoxybutane,1.46,,,,,,
1-Ethoxybutane,0.75,,,,,,
2-Ethoxy-2-methylpropane,1.25,,,,,,
2-Ethoxy-2-methylpropane,1.39,,,,,,
2-Ethoxy-2-methylpropane,2.51,,,,,,
2-Ethoxy-2-methylpropane,0.17,,,,,,
2-Ethoxy-2-methylpropane,0.31,,,,,,
2-Ethoxy-2-methylpropane,-0.76,,,,,,
2-Ethoxy-2-methylpropane,2.78,,,,,,
2-Ethoxy-2-methylpropane,-0.2,,,,,,
2-Ethoxy-2-methylpropane,0.79,,,,,,
2-Ethoxy-2-methylpropane,0.62,,,,,,
2-Ethoxy-2-methylpropane,-0.04,,,,,,
2-Ethoxy-2-methylpropane,1.37,,,,,,
2-Methoxy-2-methylbutane,0.01,,,,-299.83,,
2-Methoxy-2-methylbutane,0.72,,,,,,
2-Methoxy-2-methylbutane,-1.25,,,,,,
2-Methoxy-2-methylbutane,1.98,,,,,,
2-Methoxy-2-methylbutane,-0.32,,,,,,
2-Methoxy-2-methylbutane,0.25,,,,,,
2-Methoxy-2-methylbutane,-0.12,,,,,,
2-Methoxy-2-methylbutane,-0.01,,,,,,
2-Methoxy-2-methylbutane,0.87,,,,,,
2-Methoxy-2-methylbutane,-0.4,,,,,,
2-Methoxy-2-methylbutane,-0.4,,,,,,
2-Methoxy-2-methylbutane,-0.73,,,,,,
2-Methoxy-2-methylbutane,-0.14,,,,,,
2-Methoxy-2-methylbutane,-0.01,,,,,,
2-Methoxy-2-methylbutane,0.36,,,,,,
2-Methoxy-2-methylbutane,1.29,,,,,,
2-Methoxy-2-methylbutane,0.24,,,,,,
2-Methoxy-2-methylbutane,0.04,,,,,,
2-Ethoxy-2-methylbutane,3.9,,,,,,
2-Ethoxy-2-methylbutane,-0.3,,,,,,
2-Ethoxy-2-methylbutane,1.61,,,,,,
isobutyl ether,1.33,,,,,,
"1,1'-Oxybisbutane",1.83,,,,-332.9,,204
"1,1'-Oxybisbutane",4.93,,,,,,
"1,1'-Oxybisbutane",3.65,,,,,,
"1,1'-Oxybisbutane",4.04,,,,,,
"1,1'-Oxybisbutane",0.54,,,,,,
"1,1'-Oxybisbutane",3.39,,,,,,
"1,1'-Oxybisbutane",3.76,,,,,,
"1,1'-Oxybisbutane",6.12,,,,,,
"1,1'-Oxybisbutane",-1.95,,,,,,
"1,1'-Oxybisbutane",-1.22,,,,,,
"1,1'-Oxybisbutane",2.84,,,,,,
"1,1'-Oxybisbutane",2.13,,,,,,
"1,1'-Oxybisbutane",-1.48,,,,,,
"1,2-Dimethoxyethane",-11.45,,,,-343.09,,
"1,2-Dimethoxyethane",-12.27,,,,,,
"1,2-Dimethoxyethane",-11.73,,,,,,
"1,2-Diethoxyethane",-10.47,,,,-408.13,,
"1,2-Diethoxyethane",-10.08,,,,,,
"1,2-Diethoxyethane",-9.86,,,,,,
"1,4-Dimethoxybutane",-11.19,,,,,,
"1,4-Dimethoxybutane",-9.78,,,,,,
"1,5-Dimethoxypentane",-12.55,,,,,,
"1,5-Dimethoxypentane",-11.4,,,,,,
"1,3-Diethoxypropane",-9.19,,,,-436.18,,
"1,3-Diethoxypropane",-7.15,,,,,,
"1,4-Diethoxybutane",-11.02,,,,,,
"1,4-Diethoxybutane",-8.92,,,,,,
"1,2-Dibutoxyethane",-6.82,,,,,,
"1,2-Dibutoxyethane",-9.35,,,,,,
"1,2-Dibutoxyethane",-8.85,,,,,,
Anesthenyl,-4.92,,,,-348.53,335.7,
Anesthenyl,-4.21,,,,,,
Anesthenyl,-4.33,,,,,,
"1,1-Diethoxymethane",-3.52,,,,-414.66,,
"1,1-Diethoxymethane",-4.26,,,,,,
"1,1-Diethoxymethane",-4.69,,,,,,
"1,1-Diethoxyethane",-6.03,,,,-452.01,,
"1,1-Diethoxyethane",-4.94,,,,,,
"1,1-Diethoxyethane",-5.13,,,,,,
"1,1-Diethoxyethane",-4.96,,,,,,
Alpha-Phellandrene,9.8,,,,-9.2,450.5,
Alpha-pinene,7.41,,,,29,380.23,169
Alpha-pinene,-2.33,,,,,,
Alpha-pinene,2.39,,,,,,
Alpha-pinene,12.57,,,,,,
Alpha-pinene,12.3,,,,,,
Alpha-pinene,14.3,,,,,,
Alpha-pinene,10.96,,,,,,
Alpha-pinene,8.92,,,,,,
Alpha-pinene,13.44,,,,,,
Alpha-Terpinene,8.07,,,,-20.5,,
Alpha-Terpinene,7.37,,,,,,
Beta-myrcene,6.03,,,,61.2,,
Beta-myrcene,6.2,,,,,,
Beta-myrcene,8.93,,,,,,
Beta-myrcene,10.25,,,,,,
Beta-pinene,7.8,,,,39.2,369.85,159.2
Beta-pinene,9.6,,,,,,
Beta-pinene,10.43,,,,,,
Beta-pinene,6.96,,,,,,
Beta-pinene,10.85,,,,,,
Camphene,7.62,,,,-28.54,,
Camphene,10.53,,,,,,
Gamma-Terpinene,7.4,,,,-17.8,440.6,
Limonene,8.9,,,,2.67,,
Limonene,6.46,,,,,,
Limonene,6.57,,,,,,
Limonene,9.27,,,,,,
Limonene,9.63,,,,,,
Limonene,3.85,,,,,,
Limonene,2.59,,,,,,
Limonene,7.59,,,,,,
Limonene,9.44,,,,,,
Limonene,5.51,,,,,,
Limonene,2.59,,,,,,
Limonene,3.93,,,,,,
Limonene,7.43,,,,,,
Sabinene,10.52,,,,,,
Sabinene,11.33,,,,,,
Terpinolene,6.58,,,,-9.4,440.8,
Terpinolene,6.68,,,,,,
Tricyclene,14.68,,,,20.57,,
Methyl Formate,-3.53,,,,-357.5,301.36,66.6
Methyl Formate,-3.49,,,,,,
Methyl Formate,-3.85,,,,,,
Methyl Formate,-7.49,,,,,,
Methyl Formate,-3.42,,,,,,
Methyl Formate,-3.42,,,,,,
Methyl Formate,-3.55,,,,,,
Ethyl Formate,-3.1,,,,,,
Ethyl Formate,-3.42,,,,,,
Ethyl Formate,-3.24,,,,,,
Ethyl Formate,-3.35,,,,,,
Ethyl Formate,-2.77,,,,,,
Ethyl Formate,-2.72,,,,,,
Ethyl Formate,-2.93,,,,,,
Ethyl Formate,4.14,,,,,,
Ethyl Formate,-3.15,,,,,,
Propyl Formate,-2.8,,,,,,
Propyl Formate,-2.75,,,,,,
Propyl Formate,-2.3,,,,,,
Propyl Formate,-2.85,,,,,,
Propyl Formate,-2.64,,,,,,
Isopropyl Formate,-1.6,,,,,,
Isobutyl Formate,-1.39,,,,,,
Isobutyl Formate,-0.83,,,,,,
Isobutyl Formate,-1.53,,,,,,
Butyl Formate,-1.5,,,,,,
Butyl Formate,-1.63,,,,,,
Butyl Formate,-1.83,,,,,,
Butyl Formate,-1.89,,,,,,
Butyl Formate,-1.45,,,,,,
Isopentyl Formate,1.64,,,,,,
Isopentyl Formate,-0.43,,,,,,
Isopentyl Formate,-0.32,,,,,,
Isopentyl Formate,-1.31,,,,,,
Isopentyl Formate,-1.53,,,,,,
Pentyl Formate,-1.69,,,,,,
Pentyl Formate,-0.9,,,,,,
Hexyl Formate,-1.93,,,,,,
Hexyl Formate,0,,,,,,
Methyl Acetate,-5.23,,,,-413.3,324.38,86
Methyl Acetate,-4.87,,,,,,
Methyl Acetate,-5.19,,,,,,
Methyl Acetate,-5.07,,,,,,
Methyl Acetate,-5.35,,,,,,
Methyl Acetate,-4.42,,,,,,
Methyl Acetate,-5.06,,,,,,
Methyl Acetate,-5.25,,,,,,
Methyl Acetate,-5.06,,,,,,
Methyl Acetate,-5.05,,,,,,
Methyl Acetate,-5.05,,,,,,
Methyl Acetate,-5.4,,,,,,
Methyl Acetate,-5.34,,,,,,
Methyl Acetate,-5.91,,,,,,
Methyl Acetate,-5.23,,,,,,
Ethyl Acetate,-4.9,,,,-443.61,,114
Ethyl Acetate,-5.09,,,,,,
Ethyl Acetate,-4.7,,,,,,
Ethyl Acetate,-4.93,,,,,,
Ethyl Acetate,-4.42,,,,,,
Ethyl Acetate,-4.24,,,,,,
Ethyl Acetate,-4.93,,,,,,
Ethyl Acetate,-4.99,,,,,,
Ethyl Acetate,-0.02,,,,,,
Ethyl Acetate,-4.81,,,,,,
Ethyl Acetate,-3.01,,,,,,
Ethyl Acetate,-4.65,,,,,,
Ethyl Acetate,-4.64,,,,,,
Ethyl Acetate,-4.37,,,,,,
Ethyl Acetate,-3.91,,,,,,
Ethyl Acetate,-4.24,,,,,,
Ethyl Acetate,-4.61,,,,,,
Ethyl Acetate,-4.37,,,,,,
Ethyl Acetate,-4.7,,,,,,
Ethyl Acetate,-4.42,,,,,,
Ethyl Acetate,-4.27,,,,,,
Ethyl Acetate,-4.93,,,,,,
Ethyl Acetate,-5.03,,,,,,
Ethyl Acetate,-5.35,,,,,,
Ethyl Acetate,-4.92,,,,,,
Ethyl Acetate,-4.51,,,,,,
Ethyl Acetate,-3.99,,,,,,
Ethyl Acetate,-4.5,,,,,,
Ethyl Acetate,-4.41,,,,,,
Ethyl Acetate,-3.53,,,,,,
Ethyl Acetate,-4.31,,,,,,
Ethyl Acetate,-4.65,,,,,,
Ethyl Acetate,-4.45,,,,,,
Ethyl Acetate,-4.51,,,,,,
Ethyl Acetate,-4.37,,,,,,
Ethyl Acetate,-4.65,,,,,,
Ethyl Acetate,-4.44,,,,,,
Ethyl Acetate,-4.65,,,,,,
Ethyl Acetate,-2.76,,,,,,
Ethyl Acetate,-4.74,,,,,,
Ethyl Acetate,-4.98,,,,,,
Isopropyl Acetate,-3.11,,,,-481.63,,
Isopropyl Acetate,-3.57,,,,,,
Isopropyl Acetate,-3.11,,,,,,
Isopropyl Acetate,-3.02,,,,,,
Isopropyl Acetate,-2.51,,,,,,
Isopropyl Acetate,-2.69,,,,,,
Isopropyl Acetate,-2.44,,,,,,
Propyl Acetate,-5.2,,,,,,
Propyl Acetate,-3.98,,,,,,
Propyl Acetate,-3.25,,,,,,
Propyl Acetate,-3.5,,,,,,
Propyl Acetate,-3.98,,,,,,
Propyl Acetate,-3.22,,,,,,
Propyl Acetate,-3.57,,,,,,
Propyl Acetate,-4.08,,,,,,
Propyl Acetate,-4.04,,,,,,
Propyl Acetate,-3.62,,,,,,
Propyl Acetate,-3.53,,,,,,
Propyl Acetate,-3.55,,,,,,
Propyl Acetate,-3.61,,,,,,
Propyl Acetate,-3.85,,,,,,
Propyl Acetate,-3.75,,,,,,
Propyl Acetate,-3.62,,,,,,
Isobutyl Acetate,-2.14,,,,,,
Isobutyl Acetate,-1.29,,,,,,
Isobutyl Acetate,-2.14,,,,,,
Isobutyl Acetate,-2.32,,,,,,
Isobutyl Acetate,-1.93,,,,,,
Isobutyl Acetate,-2.5,,,,,,
Isobutyl Acetate,-2.28,,,,,,
Isobutyl Acetate,-1.97,,,,,,
Isobutyl Acetate,-2.08,,,,,,
Butyl Acetate,-4.5,,,,-485.31,,
Butyl Acetate,-3.17,,,,,,
Butyl Acetate,-3.29,,,,,,
Butyl Acetate,-2.68,,,,,,
Butyl Acetate,-3.17,,,,,,
Butyl Acetate,-2.45,,,,,,
Butyl Acetate,-3.56,,,,,,
Butyl Acetate,-4.52,,,,,,
Butyl Acetate,-2.56,,,,,,
Butyl Acetate,-3.74,,,,,,
Butyl Acetate,-2.87,,,,,,
Butyl Acetate,-3.49,,,,,,
Butyl Acetate,-3.99,,,,,,
Butyl Acetate,-3.09,,,,,,
Butyl Acetate,-3.12,,,,,,
Butyl Acetate,-2.96,,,,,,
Butyl Acetate,-3.12,,,,,,
Butyl Acetate,-2.84,,,,,,
Butyl Acetate,-3.48,,,,,,
Butyl Acetate,-3.19,,,,,,
tert-Butyl Acetate,-0.34,,,,-516.47,,
tert-Butyl Acetate,1.22,,,,,,
tert-Butyl Acetate,-0.34,,,,,,
tert-Butyl Acetate,-0.45,,,,,,
sec-Butyl Acetate,-2.37,,,,,,
sec-Butyl Acetate,-1.51,,,,,,
sec-Butyl Acetate,-2.48,,,,,,
sec-Butyl Acetate,-2.28,,,,,,
sec-Butyl Acetate,-2.09,,,,,,
n-Pentyl Acetate,-7.3,,,,,,
n-Pentyl Acetate,-2.7,,,,,,
n-Pentyl Acetate,-2.29,,,,,,
n-Pentyl Acetate,-1.89,,,,,,
n-Pentyl Acetate,-3.01,,,,,,
n-Pentyl Acetate,-2.57,,,,,,
n-Pentyl Acetate,-2.23,,,,,,
n-Pentyl Acetate,-2.54,,,,,,
n-Pentyl Acetate,-2.4,,,,,,
Isopentyl Acetate,-6.28,,,,,,
Isopentyl Acetate,-1.37,,,,,,
Isopentyl Acetate,-1.67,,,,,,
Isopentyl Acetate,-2.35,,,,,,
Isopentyl Acetate,-2.07,,,,,,
Isopentyl Acetate,-1.53,,,,,,
n-Hexyl Acetate,-1.01,,,,,,
n-Hexyl Acetate,-1.31,,,,,,
n-Hexyl Acetate,-2.28,,,,,,
n-Hexyl Acetate,-1.86,,,,,,
n-Hexyl Acetate,-0.93,,,,,,
Methyl Propionate,-4.61,,,,,,
Methyl Propionate,-3.79,,,,,,
Methyl Propionate,-4.12,,,,,,
Methyl Propionate,-4.13,,,,,,
Methyl Propionate,-4.12,,,,,,
Methyl Propionate,-4.21,,,,,,
Methyl Propionate,-4.31,,,,,,
Ethyl Propionate,-3.66,,,,-463.43,,
Ethyl Propionate,-3.63,,,,,,
Ethyl Propionate,-3.39,,,,,,
Ethyl Propionate,-3.13,,,,,,
Propyl Propionate,-2.76,,,,,,
Propyl Propionate,-2.44,,,,,,
Isopropyl Propionate,-1.51,,,,,,
Isobutyl Propionate,-1.42,,,,,,
Isobutyl Propionate,-0.67,,,,,,
Butyl Propionate,-2.2,,,,,,
Butyl Propionate,-1.65,,,,,,
Butyl Propionate,-1.22,,,,,,
Pentyl Propionate,-2.83,,,,,,
Pentyl Propionate,-0.3,,,,,,
Methyl Butyrate,-4.86,,,,,,
Methyl Butyrate,-3.6,,,,,,
Methyl Butyrate,-3.62,,,,,,
Methyl Butyrate,-3.2,,,,,,
Methyl Butyrate,-3.12,,,,,,
Methyl Butyrate,-3.38,,,,,,
Methyl Butyrate,-3.9,,,,,,
Ethyl Butyrate,-2.23,,,,-485.69,,
Ethyl Butyrate,-3.85,,,,,,
Ethyl Butyrate,-3.05,,,,,,
Ethyl Butyrate,-4.35,,,,,,
Ethyl Butyrate,-2.71,,,,,,
Ethyl Butyrate,-2.25,,,,,,
Ethyl Butyrate,-2.21,,,,,,
Ethyl Butyrate,-3.15,,,,,,
Ethyl Butyrate,-2.32,,,,,,
Ethyl Butyrate,-3.38,,,,,,
Ethyl Butyrate,-2.69,,,,,,
Ethyl Butyrate,-2.59,,,,,,
Isopropyl Butyrate,-6.62,,,,,,
Isopropyl Butyrate,-1.38,,,,,,
Propyl Butyrate,-2.1,,,,,,
Propyl Butyrate,-1.69,,,,,,
Butyl Butyrate,-1.34,,,,,,
Butyl Butyrate,-0.66,,,,,,
Methyl Isobutyrate,-2.52,,,,,,
Methyl Isobutyrate,-2.27,,,,,,
Ethyl Isobutyrate,-1.98,,,,,,
Ethyl Isobutyrate,-0.88,,,,,,
Ethyl Isobutyrate,-1.24,,,,,,
Isobutyl Isobutyrate,1.67,,,,-541.7,,
Isobutyl Isobutyrate,-0.03,,,,,,
Methyl Pentanoate,-2.37,,,,-471.07,,
Methyl Pentanoate,-5.1,,,,,,
Methyl Pentanoate,-2.85,,,,,,
Methyl Pentanoate,-2.7,,,,,,
Methyl Pentanoate,-0.79,,,,,,
Methyl Pentanoate,-2.61,,,,,,
Methyl Pentanoate,-2.81,,,,,,
Ethyl Pentanoate,-7.49,,,,-505.99,,
Ethyl Pentanoate,-1.56,,,,,,
Ethyl Pentanoate,-2.58,,,,,,
Butyl Pentanoate,-0.87,,,,-555.8,,
Butyl Pentanoate,0.96,,,,,,
Ethyl Isopentanoate,-0.98,,,,-525.9,,
Ethyl Isopentanoate,-0.39,,,,,,
Methyl Pivalate,0.14,,,,-491.18,,
Ethyl Pivalate,1.39,,,,-518.73,,
Methyl Hexanoate,-1.55,,,,-492.6,,
Methyl Hexanoate,-3.24,,,,,,
Methyl Hexanoate,-2.46,,,,,,
Methyl Hexanoate,-2.61,,,,,,
Methyl Hexanoate,-2.22,,,,,,
Methyl Hexanoate,-1.9,,,,,,
Methyl Hexanoate,-2.46,,,,,,
Ethyl Hexanoate,-1.67,,,,-527.38,,
Ethyl Hexanoate,-1.78,,,,,,
Ethyl Hexanoate,-0.43,,,,,,
Ethyl Hexanoate,0.11,,,,,,
Ethyl Hexanoate,-1.29,,,,,,
Ethyl Hexanoate,-1.51,,,,,,
Ethyl Hexanoate,-2.48,,,,,,
Ethyl Hexanoate,-2.12,,,,,,
Ethyl Hexanoate,-1.8,,,,,,
Methyl Heptanoate,-0.55,,,,,,
Methyl Heptanoate,-3.43,,,,,,
Methyl Heptanoate,-2.23,,,,,,
Methyl Octanoate,0.12,,,,-533.89,,
Methyl Octanoate,0.64,,,,,,
Methyl Octanoate,-0.58,,,,,,
Methyl Octanoate,-0.52,,,,,,
Ethyl Octanoate,-6.07,,,,-570,,
Ethyl Octanoate,-1.32,,,,,,
Ethyl Octanoate,-1.07,,,,,,
Ethyl 2-Methylbutanoate,0.32,,,,-523,,
Ethyl 2-Methylbutanoate,-3.31,,,,,,
Ethyl 2-Methylbutanoate,-0.58,,,,,,
Ethyl 2-Methylbutanoate,-0.87,,,,,,
Methyl Nonanoate,-7.53,,,,-554.21,,
Methyl Nonanoate,0.51,,,,,,
Ethyl Decanoate,-0.3,,,,,,
Ethyl Decanoate,-2.1,,,,,,
Methanethiol,3.08,,,,-22.9,255.14,50.3
Methanethiol,3.22,,,,,,
Methanethiol,3.92,,,,,,
Methanethiol,3.8,,,,,,
Methanethiol,2.28,,,,,,
Methanethiol,3.45,,,,,,
Methanethiol,3.09,,,,,,
Methanethiol,2.27,,,,,,
Methanethiol,2.02,,,,,,
Methanethiol,3.4,,,,,,
Methanethiol,3.17,,,,,,
Methanethiol,2.78,,,,,,
Ethanethiol,3.06,,,,-46.08,296.25,73
Ethanethiol,3.17,,,,,,
Ethanethiol,4.11,,,,,,
Ethanethiol,3.69,,,,,,
Ethanethiol,4.23,,,,,,
Ethanethiol,4.52,,,,,,
Ethanethiol,2.91,,,,,,
Ethanethiol,2.62,,,,,,
1-Propanethiol,4.33,,,,-67.85,336.55,94.9
1-Propanethiol,3.63,,,,,,
1-Propanethiol,3.51,,,,,,
1-Propanethiol,5.2,,,,,,
1-Propanethiol,5.96,,,,,,
1-Propanethiol,5.23,,,,,,
1-Butanethiol,4.51,,,,-88,,118.3
1-Butanethiol,3.78,,,,,,
1-Butanethiol,6.55,,,,,,
1-Butanethiol,4.08,,,,,,
1-Butanethiol,4.94,,,,,,
1-Butanethiol,5.72,,,,,,
1-Pentanethiol,5.88,,,,-110.04,,141.4
1-Pentanethiol,6.22,,,,,,
1-Hexanethiol,7.38,,,,-129,,164.1
1-Hexanethiol,0.73,,,,,,
1-Heptanethiol,7.88,,,,-148.8,,186.7
2-Butanethiol,4.98,,,,-96.92,366.8,119.7
3-Methylbutanethiol,5.95,,,,-114.1,,
3-Methylbutanethiol,2.98,,,,,,
Dimethyl Sulfide,1.84,,,,-37.41,286,74.1
Dimethyl Sulfide,-0.39,,,,,,
Dimethyl Sulfide,-1.19,,,,,,
Dimethyl Sulfide,2.13,,,,,,
Dimethyl Sulfide,1.66,,,,,,
Dimethyl Sulfide,1.69,,,,,,
Dimethyl Sulfide,1.83,,,,,,
Dimethyl Sulfide,1.44,,,,,,
Dimethyl Sulfide,1.64,,,,,,
Dimethyl Sulfide,1.63,,,,,,
Dimethyl Sulfide,1.42,,,,,,
Dimethyl Sulfide,1.44,,,,,,
Dimethyl Sulfide,1.42,,,,,,
Dimethyl Sulfide,1.44,,,,,,
Diethyl Sulfide,1.5,,,,-83.52,368.1,116.6
Diethyl Sulfide,2.03,,,,,,
Diethyl Sulfide,2.08,,,,,,
Methyl propyl Sulfide,2.08,,,,-82.19,,117.3
Diisopropyl Sulfide,2.99,,,,-141.96,415.5,170.6
Dipropyl Sulfide,2.74,,,,-125.67,,162.1
Carbon Disulfide,7.23,,,,116.65,237.9,45.5
Carbon Disulfide,6.77,,,,,,
Carbon Disulfide,7.3,,,,,,
Carbon Disulfide,6.28,,,,,,
Carbon Disulfide,8.32,,,,,,
Carbon Disulfide,6.47,,,,,,
Carbon Disulfide,7.41,,,,,,
Carbon Disulfide,6.25,,,,,,
Carbon Disulfide,7.58,,,,,,
Carbon Disulfide,7.37,,,,,,
Dimethyl Disulfide,0.59,,,,-24.7,336.8,94.2
Dimethyl Disulfide,1.25,,,,,,
Dimethyl Disulfide,0.81,,,,,,
Dimethyl Disulfide,1.25,,,,,,
Dimethyl Disulfide,-1.71,,,,,,
Dimethyl Disulfide,0.5,,,,,,
Dimethyl Disulfide,0.83,,,,,,
Dimethyl Disulfide,0.12,,,,,,
Dimethyl Disulfide,0.37,,,,,,
Dimethyl Disulfide,1.06,,,,,,
Diethyl Disulfide,1.12,,,,-74.9,414.5,141.6
Diethyl Disulfide,2.6,,,,,,
Dimethyl Trisulfide,-0.91,,,,,,
Dimethyl Trisulfide,0.15,,,,,,
Dimethyl Trisulfide,-1.79,,,,,,
Dimethyl Trisulfide,-2.44,,,,,,
Dipropyl Disulfide,3.82,,,,-118.36,,187.1
Dipropyl Disulfide,-1.45,,,,,,
Acetonitrile,-9.02,,,,74,243.67,52.3
Acetonitrile,-9.01,,,,,,
Acetonitrile,-9.65,,,,,,
Acetonitrile,-9.17,,,,,,
Acetonitrile,-8.72,,,,,,
Acetonitrile,-9.11,,,,,,
Acetonitrile,-9.84,,,,,,
Acetonitrile,-9.59,,,,,,
Acetonitrile,-9.35,,,,,,
Acetonitrile,-9.1,,,,,,
Acetonitrile,-8.72,,,,,,
Acetonitrile,-8.79,,,,,,
Acetonitrile,-9.82,,,,,,
Acetonitrile,-8.66,,,,,,
Acetonitrile,-9.1,,,,,,
Acetonitrile,-8.81,,,,,,
Propanenitrile,-7.87,,,,51.69,,73.8
Propanenitrile,-7.95,,,,,,
Propanenitrile,-7.23,,,,,,
Propanenitrile,-7.86,,,,,,
Propanenitrile,-8.02,,,,,,
Propanenitrile,-8.04,,,,,,
Propanenitrile,-7.96,,,,,,
Propanenitrile,-8.06,,,,,,
Propanenitrile,-8.11,,,,,,
Butanenitrile,-6.4,,,,33.61,,98.5
Butanenitrile,-7.02,,,,,,
Butanenitrile,-7.25,,,,,,
Butanenitrile,-7.14,,,,,,
Butanenitrile,-7.3,,,,,,
2-Methylpropanenitrile,-5.91,,,,23.42,,99.2
2-Methylpropanenitrile,-5.46,,,,,,
2-Methylpropanenitrile,-5.81,,,,,,
Pentanenitrile,-6.83,,,,10.54,,
Pentanenitrile,-6.48,,,,,,
Pentanenitrile,-6.55,,,,,,
Pentanenitrile,-6.05,,,,,,
Hexanenitrile,-6.02,,,,,,
Hexanenitrile,-6.9,,,,,,
Octanenitrile,-3.08,,,,-50.5,,
Octanenitrile,-9.24,,,,,,
Butanedinitrile,-28.3,,,,,,
Butanedinitrile,-28.17,,,,,,
Pentanedinitrile,-28,,,,,,
Pentanedinitrile,-27.86,,,,,,
Hexanedinitrile,-29.29,,,,,,
Hexanedinitrile,-29.59,,,,,,
Ethenylbenzene,3.1,,,,,,
4-Ethenylcyclohexene,9.5,,,,66.41,,
Indane,2.1,,,,60.3,,
Tetralin,1.1,,,,24.6,,
Propane,,-22.61,,,,,
Propane,,-22.9,,,,,
Propane,,-23.27,,,,,
n-Butane,,-25.93,,,,,
n-Butane,,-25.92,,,,,
n-Pentane,,-26.2,,,,,
n-Pentane,,-28.75,,,,,
n-Pentane,,-26.9,,,,,
n-Pentane,,-28.75,,,,,
n-Pentane,,-28,,,,,
n-Hexane,,-33.93,,,,,
n-Hexane,,-30.9,,,,,
n-Hexane,,-31.7,,,,,
n-Hexane,,-31.73,,,,,
n-Hexane,,-31.26,,,,,
n-Hexane,,-29.3,,,,,
n-Heptane,,-38.76,,,,,
n-Heptane,,-36.5,,,,,
n-Heptane,,-33.3,,,,,
n-Octane,,-43.33,,,,,
n-Octane,,-41.3,,,,,
n-Octane,,-39.7,,,,,
n-Nonane,,-48.93,,,,,
n-Nonane,,-46.1,,,,,
2-Methylpropane,,-24.08,,,,,
2-Methylpropane,,-24.46,,,,,
2-Methylpropane,,-24.19,,,,,
"2,2-Dimethylpropane",,-24.15,,,,,
2-Methylbutane,,-25.2,,,,,
"2,3-Dimethylbutane",,-33.73,,,,,
2-Methylpentane,,-33,,,,,
"3,3-Dimethylpentane",,-32.75,,,,,
"2,2,4-Trimethylpentane",,-37.34,,,,,
"2,2,4-Trimethylpentane",,-32.74,,,,,
Propene,,-21.64,,,,,
"1,3-Butadiene",,-24.7,,,,,
1-Butene,,-24.88,,,,,
2-Methyl-1-propene,,-24.9,,,,,
"2-Methyl-1,3-butadiene",,-28.7,,,,,
2-Methyl-2-butene,,-28.5,,,,,
Propyne,,-19.7,,,,,
1-Butyne,,-16.5,,,,,
Benzene,,-31.87,,,,,
Benzene,,-31.89,,,,,
Benzene,,-31.71,,,,,
Benzene,,-31.7,,,,,
Benzene,,-31.82,,,,,
Benzene,,-31.58,,,,,
Benzene,,-31.42,,,,,
Benzene,,-31.84,,,,,
Benzene,,-32.22,,,,,
Benzene,,-33.12,,,,,
Benzene,,-33.46,,,,,
Methylbenzene,,-36.26,,,,,
Methylbenzene,,-36.33,,,,,
Methylbenzene,,-37.22,,,,,
"1,2-Dimethylbenzene",,-38.08,,,,,
"1,2-Dimethylbenzene",,-38.68,,,,,
"1,3-Dimethylbenzene",,-38.72,,,,,
"1,3-Dimethylbenzene",,-40.12,,,,,
"1,3-Dimethylbenzene",,-39.72,,,,,
"1,4-Dimethylbenzene",,-35.06,,,,,
"1,4-Dimethylbenzene",,-38.66,,,,,
"1,4-Dimethylbenzene",,-40.66,,,,,
"1,4-Dimethylbenzene",,-39.36,,,,,
Ethylbenzene,,-40.68,,,,,
Ethylbenzene,,-39.28,,,,,
Ethylbenzene,,-40.38,,,,,
Ethylbenzene,,-40.26,,,,,
Ethylbenzene,,-40.98,,,,,
"1,3,5-Trimethylbenzene",,-44.31,,,,,
"1,3,5-Trimethylbenzene",,-42.91,,,,,
"1,3,5-Trimethylbenzene",,-43.41,,,,,
"1,2,3-Trimethylbenzene",,-41.76,,,,,
"1,2,4-Trimethylbenzene",,-42.34,,,,,
n-Propylbenzene,,-44.34,,,,,
n-Propylbenzene,,-40.84,,,,,
n-Propylbenzene,,-46.24,,,,,
n-Propylbenzene,,-42.54,,,,,
n-Propylbenzene,,-43.94,,,,,
Cyclopropane,,-23.26,,,,,
Cyclopentane,,-30.92,,,,,
Cyclopentane,,-30.52,,,,,
Cyclohexane,,-33.22,,,,,
Cyclohexane,,-32.86,,,,,
Methylcyclohexane,,-37.64,,,,,
"1,4-Cyclohexadiene",,-36.25,,,,,
Cyclohexene,,-34.87,,,,,
"1,3,5-Cycloheptatriene",,-37.8,,,,,
